date,MACD_Signal,MACD,MACD_Hist,RSI,Real Lower Band,Real Middle Band,Real Upper Band,4. close,Y,X,Buy/Sell
2011-08-25,1.4628,0.1128,-1.35,51.9214,351.9363,375.3825,398.8287,373.72,10859.57524,0.209405783, 
2011-08-24,1.8003,-0.042,-1.8423,52.9152,351.794,376.2875,400.781,376.18,10859.50201,0.136167982, 
2011-08-23,2.2609,-0.4894,-2.7503,51.9999,351.6052,377.108,402.6108,373.6,10859.66783,0.301994798, 
2011-08-22,2.9484,-0.7907,-3.7391,45.2777,350.7166,378.5985,406.4804,356.44,10860.40108,1.035240849, 
2011-08-19,3.8832,0.5835,-3.2997,45.1031,353.4852,380.7015,407.9178,356.03,10860.21416,0.84832206, 
2011-08-18,4.7081,2.3708,-2.3374,48.7095,357.3292,382.565,407.8008,366.05,10859.58016,0.214318993, 
2011-08-17,5.2925,3.5972,-1.6952,54.6736,359.4972,383.627,407.7568,380.44,10858.79166,-0.574180448, 
2011-08-16,5.7163,3.6451,-2.0711,54.6913,359.8265,383.95,408.0735,380.48,10858.78637,-0.579463734, 
2011-08-15,6.2341,3.6492,-2.5849,55.9506,359.4892,383.7685,408.0478,383.41,10858.66357,-0.702265699, 
2011-08-12,6.8803,3.303,-3.5773,53.733,358.6221,383.288,407.9539,376.99,10858.94754,-0.418299589, 
2011-08-11,7.7746,3.4667,-4.3079,52.5706,356.8679,382.6845,408.5011,373.7,10859.04995,-0.315892645, 
2011-08-10,8.8516,3.9602,-4.8913,48.8565,354.1038,381.888,409.6722,363.69,10859.36204,-0.003800646, 
2011-08-09,10.0744,5.5518,-4.5226,52.9149,352.9804,381.6045,410.2286,374.01,10858.71998,-0.645856613, 
2011-08-08,11.2051,6.4516,-4.7534,44.0095,349.6258,380.5915,411.5572,353.21,10859.49728,0.131439041, 
2011-08-05,12.3934,9.6241,-2.7693,53.4296,349.8034,380.631,411.4586,373.62,10858.06573,-1.300105385, 
2011-08-04,13.0857,11.4553,-1.6304,55.5032,347.9025,379.9355,411.9685,377.37,10857.58174,-1.78409899, 
2011-08-03,13.4933,13.2441,-0.2492,65.2555,345.3992,378.927,412.4548,392.57,10856.31929,-3.046544107, 
2011-08-02,13.5556,13.787,0.2314,63.8006,341.989,376.8865,411.784,388.91,10856.38678,-2.979057519, 
2011-08-01,13.4978,14.652,1.1542,69.744,338.5242,374.9125,411.3008,396.75,10855.64998,-3.715854904, 
2011-07-29,13.2093,14.7448,1.5355,67.4395,334.8147,372.238,409.6613,390.48,10855.86906,-3.496776084, 
2011-07-28,12.8254,15.2871,2.4617,68.4987,329.8573,369.4975,409.1377,391.82,10855.67898,-3.686855915, 
